             Quindio   '2018-01-11'   '0197'
             Quindio   '2018-01-18'   '3438'
             Quindio   '2018-01-25'   '3501'
             Quindio   '2018-02-01'   '9507'
             Quindio   '2018-02-08'   '7489'
             Quindio   '2018-02-15'   '3151'
             Quindio   '2018-02-22'   '2053'
             Quindio   '2018-03-01'   '4730'
             Quindio   '2018-03-08'   '3626'
             Quindio   '2018-03-15'   '2716'
             Quindio   '2018-03-22'   '7890'
             Quindio   '2018-03-27'   '5174'
             Quindio   '2018-04-05'   '5229'
             Quindio   '2018-04-12'   '4805'
             Quindio   '2018-04-19'   '4446'
             Quindio   '2018-04-26'   '1294'
             Quindio   '2018-05-03'   '6810'
             Quindio   '2018-05-10'   '5366'
             Quindio   '2018-05-17'   '8492'
             Quindio   '2018-05-24'   '3727'
             Quindio   '2018-05-31'   '6093'
             Quindio   '2018-06-07'   '6102'
             Quindio   '2018-06-14'   '0562'
             Quindio   '2018-06-21'   '2006'
             Quindio   '2018-06-28'   '1664'
             Quindio   '2018-07-05'   '2924'
             Quindio   '2018-07-12'   '5642'
             Quindio   '2018-07-19'   '3141'
             Quindio   '2018-07-26'   '3741'
             Quindio   '2018-08-02'   '3362'
             Quindio   '2018-08-09'   '3880'
             Quindio   '2018-08-16'   '9718'
             Quindio   '2018-08-23'   '9346'
             Quindio   '2018-08-30'   '3103'
             Quindio   '2018-09-06'   '2406'
             Quindio   '2018-09-13'   '1533'
             Quindio   '2018-09-20'   '4557'
             Quindio   '2018-09-27'   '0369'
             Quindio   '2018-10-04'   '2942'
             Quindio   '2018-10-11'   '3720'
             Quindio   '2018-10-18'   '9742'
             Quindio   '2018-10-25'   '5230'
             Quindio   '2018-11-01'   '7308'
             Quindio   '2018-11-08'   '6593'
             Quindio   '2018-11-15'   '1072'
             Quindio   '2018-11-22'   '4290'
             Quindio   '2018-11-29'   '9411'
             Quindio   '2018-12-06'   '9411'
             Quindio   '2018-12-13'   '7977'
             Quindio   '2018-12-20'   '0686'
             Quindio   '2018-12-27'   '7104'
             Quindio   '2019-01-03'   '2727'
             Quindio   '2019-01-10'   '9140'
             Quindio   '2019-01-17'   '1418'
             Quindio   '2019-01-24'   '8254'
             Quindio   '2019-01-31'   '3418'
             Quindio   '2019-02-07'   '8482'
             Quindio   '2019-02-14'   '0734'
             Quindio   '2019-02-21'   '2321'
             Quindio   '2019-02-28'   '6723'
             Quindio   '2019-03-07'   '9001'
             Quindio   '2019-03-14'   '6364'
             Quindio   '2019-03-21'   '4920'
             Quindio   '2019-03-28'   '8752'
             Quindio   '2019-04-04'   '3093'
             Quindio   '2019-04-11'   '3221'
             Quindio   '2019-04-16'   '5416'
             Quindio   '2019-04-25'   '1524'
             Quindio   '2019-05-02'   '4201'
             Quindio   '2019-05-09'   '1846'
             Quindio   '2019-05-16'   '3785'
             Quindio   '2019-05-23'   '0926'
             Quindio   '2019-05-30'   '7939'
             Quindio   '2019-06-06'   '4683'
             Quindio   '2019-06-13'   '4018'
             Quindio   '2019-06-20'   '5574'
